Inicio del Ciclo,Grabando,Grabacion finalizada,Conversion a flac,API Request,API Response,Brain Request,Brain Response,Ejecutando TTS,
,4.80455,0.016022,1.3856,1.982255,0.008558,0.006025,0.004878,3.469402,
,4.850211,-0.08368,1.66787,2.588413,0.011241,0.006156,0.008047,1.669944,
,5.20652,0.011724,1.418278,3.095461,0.010577,0.004257,0.004489,3.983473,
,4.995991,0.004762,1.397308,3.733515,0.014269,0.01239,0.007921,1.800058,
,4.705998,0.003616,1.379265,2.75671,0.007709,0.005269,0.00594,1.777044,
,4.957336,0.00492,1.478217,3.977358,0.024349,0.002253,0.004856,3.159818,
,5.201658,0.004167,1.798074,2.209274,0.01115,0.004005,0.009585,3.341599,
,4.912359,0.013332,1.479345,2.302632,0.009567,0.016606,0.004764,1.899247,
,4.734164,0.007227,1.342486,2.709716,0.010285,0.003084,0.006559,3.588956,
,5.268399,0.00739,1.585697,2.620791,0.010114,0.006007,0.003389,2.552393,
,4.873847,0.003883,1.761041,2.345093,0.011062,0.011836,0.01505,3.142351,
,4.84307,0.024711,1.388089,3.103162,0.012282,0.005035,0.005314,4.367198,
,4.956872,-0.092663,0.723236,1.612586,0.019295,0.00453,0.007009,3.499086,
,4.433486,-0.002091,1.706417,2.695603,0.008852,0.0067,0.008793,3.485425,
,5.347665,0.009619,1.819982,3.760427,0.00847,0.012311,0.009486,3.542593,
,4.824916,0.003807,1.280557,3.003567,0.011011,0.004287,0.017024,3.916259,
,4.925747,-0.108902,1.766474,1.828392,0.011056,0.002998,0.005372,1.869616,
,4.858415,0.008787,1.247314,2.101718,0.009943,0.003731,0.006584,3.798,
,5.280861,0.0114,1.483419,2.517433,0.012465,0.003086,0.014555,1.568595,
,4.180945,0.004822,1.620638,1.760021,0.00967,0.004696,0.005003,4.002043,
,4.83334,0.006883,1.432867,2.963204,0.009542,0.011939,0.008132,3.247914,
,5.415655,0.006522,1.454276,2.502431,0.071624,0.00351,0.005413,2.374291,
,4.837084,0.01332,1.735472,2.527542,0.01268,0.002388,0.004817,1.596246,
,4.778085,0.011814,1.539526,2.405204,0.016008,0.015648,0.00478,3.805547,
,4.714107,0.011356,1.842835,2.506204,0.007928,0.007504,0.003669,2.999712,
,4.810501,0.009345,1.675224,3.109844,0.008303,0.004238,0.003885,3.279734,
,4.817377,0.014772,3.139061,4.024076,0.008627,0.005725,0.004323,1.610542,
,4.815468,0.004126,1.133654,6.019944,0.013866,0.002832,0.003559,4.138987,
,4.885601,0.013769,1.335032,4.613625,0.010656,0.116728,0.003461,3.534975,
,4.731323,0.001759,1.891318,3.126962,0.016024,0.002848,0.004287,4.302081,
,5.002507,0.005396,1.245837,3.299366,0.010166,0.003921,0.010018,7.37574,
,4.759638,-0.118122,1.084764,2.295298,0.008932,0.001993,0.003923,1.558732,
,4.69672,0.003545,1.542068,2.470085,0.008924,0.007045,0.006573,4.816152,
,5.185169,0.000615,1.36846,2.332877,0.010716,0.004375,0.008702,4.626353,
,4.698504,0.005959,1.411873,1.7771,0.014258,0.002905,0.006481,1.623224,
,4.802002,0.461482,1.727372,4.912639,0.035174,0.007735,0.004301,1.766096,
,4.317598,0.000757,0.99318,2.127242,0.012146,0.004002,0.004618,1.88671,
,4.750292,0.005623,1.010391,3.084659,0.008497,0.002455,0.004564,2.559763,
,5.60223,0.009428,1.448204,5.32285,0.011152,0.002893,0.007622,10.622647,
,5.089191,0.011909,1.28361,2.424717,0.016939,0.020155,0.003798,2.338329,
,4.786179,0.004552,0.965138,2.314616,0.008477,0.002391,0.004977,2.034453,
,5.067014,0.006001,1.688505,2.375422,0.010634,0.024641,0.003454,3.044793,
,4.727416,0.002154,1.298781,1.705173,0.012273,0.00766,0.005362,6.147197,
,4.048307,0.000314,1.72475,5.331822,0.008777,0.002579,0.002987,3.904355,
,4.740069,0.002153,1.469529,3.421017,0.008455,0.00196,0.005714,3.843929,
,4.780424,0.010125,1.33299,3.806424,0.00597,0.00531,0.003805,3.48221,
,4.73616,0.010854,1.088814,3.52477,0.012315,0.002902,0.006263,2.053499,
,5.065267,0.012349,1.723985,2.891979,0.009018,0.00483,0.005487,7.644082,
,4.751047,0.012819,1.849763,3.17767,0.010355,0.002498,0.008861,2.501509,
,4.740409,0.020823,1.207298,5.619429,0.010205,0.005452,0.003958,3.321519,
,4.937286,0.015843,2.102192,2.862753,0.012007,0.005193,0.003521,2.105847,
,5.469841,0.451618,1.018869,2.707761,0.012925,0.005533,0.00636,3.132376,
,5.155762,0.000962,1.082986,3.913737,0.010227,0.01721,0.003962,3.730965,
,4.768022,0.006002,1.006616,2.061909,0.014765,0.011399,0.004788,3.906858,
,4.974402,0.003558,1.071437,1.967783,0.0092,0.001725,0.008972,2.809682,
,4.714095,0.003772,2.214743,4.188145,0.0096,0.00313,0.004859,3.096051,
,4.767809,0.001067,1.284179,5.714907,0.007834,0.003643,0.005544,3.287961,
,5.446593,0.015623,1.404829,4.329237,0.01604,0.004254,0.008,1.525013,
,4.740658,-0.077652,1.19319,5.745004,0.010298,0.004861,0.003028,3.541936,
,5.039959,0.002593,1.854009,11.930561,0.010937,0.01231,0.00334,3.061714,
,4.718329,0.011789,1.707312,5.518437,0.007839,0.004217,0.003092,3.413875,
,4.741043,-0.11658,1.049181,3.547446,0.009234,0.003994,0.006837,3.274786,
,5.272512,0.006629,1.672673,6.439535,0.010136,0.002063,0.002816,3.050195,
,4.826512,0.002739,1.107116,8.48896,0.017482,0.001957,0.002695,3.681266,
,4.315358,-0.001546,1.016797,8.592149,0.011091,0.006867,0.004749,4.627026,
,4.734544,0.002526,1.070126,10.590021,0.009044,0.003649,0.005473,3.409008,
,4.918454,-0.101048,1.068245,10.191865,0.014224,0.003721,0.005441,2.532145,
,4.767452,0.003657,1.004153,12.154053,0.00878,0.004433,0.002772,3.990835,
,4.715766,0.008221,1.434338,5.278807,0.011442,0.002599,0.006732,4.452048,
,199.275591,0.007033,1.280753,5.82168,0.00704,0.004288,0.004277,2.814782,
,4.720993,0.017549,1.428408,12.651272,0.009438,0.014308,0.002547,2.201373,
